"scenario","mechanism","rate","method","outcome","axis","n_groups","mean_abs_bias","max_abs_bias","mean_coverage","min_coverage","n_degenerate_ci"
9,"MNAR",0.5,"IPW","wasted","wealth",5,0.0367702683321991,0.0464496019417589,0.23,0.15,0
9,"MNAR",0.5,"MI-PMM","stunted","region",23,0.0910921450170703,0.255243732614868,0.539130434782609,0,0
9,"MNAR",0.5,"MI-PMM","stunted","wealth",5,0.0906226380179818,0.132497115928844,0.16,0,0
9,"MNAR",0.5,"MI-PMM","wasted","region",23,0.0358739391894937,0.0846763501502777,0.771739130434783,0.2,12
9,"MNAR",0.5,"MI-PMM","wasted","wealth",5,0.0344930520915242,0.0438549371936039,0.07,0,0
9,"MNAR",0.5,"MI-RF","stunted","region",23,0.0879983899995515,0.192757674876351,0.493478260869565,0,0
9,"MNAR",0.5,"MI-RF","stunted","wealth",5,0.0878632582276053,0.116921484257052,0.12,0,0
9,"MNAR",0.5,"MI-RF","wasted","region",23,0.038328300785036,0.102576794037903,0.691533180778032,0.1,20
9,"MNAR",0.5,"MI-RF","wasted","wealth",5,0.0364781082013306,0.0500834438491343,0.09,0,0
10,"MAR",0.3,"MI-RF (ntree=50)","stunted","region",23,0.0195760963811997,0.0637089544242809,0.956521739130435,0.75,0
10,"MAR",0.3,"MI-RF (ntree=50)","stunted","wealth",5,0.00928059692877292,0.0141569015830197,0.95,0.75,0
10,"MAR",0.3,"MI-RF (ntree=50)","wasted","region",23,0.00846987904218036,0.0264130898143683,0.989130434782609,0.75,1
10,"MAR",0.3,"MI-RF (ntree=50)","wasted","wealth",5,0.00524189847058003,0.00805618587375827,0.95,0.75,0
