"outcome","scenario","method","n_sim","bias","rel_bias_pct","emp_se","mod_se","se_ratio","rmse","coverage","ci_width","fmi"
"Wasting","MCAR 50%","MI-RF",20,"-0.23 (0.13)","-3.0","0.58 (0.09)","0.51 (0.01)","0.89","0.61 (0.08)","90.0 (6.7)","2.05","0.34"
"Wasting","MAR 10%","Complete data",20,"0.05 (0.10)","0.7","0.45 (0.07)","0.45 (0.01)","1.00","0.44 (0.06)","95.0 (4.9)","1.76","—"
"Wasting","MAR 10%","CCA",20,"0.00 (0.09)","0.0","0.42 (0.07)","0.47 (0.01)","1.10","0.41 (0.06)","95.0 (4.9)","1.83","—"
"Wasting","MAR 10%","IPW",20,"0.01 (0.09)","0.1","0.42 (0.07)","0.47 (0.01)","1.13","0.40 (0.06)","95.0 (4.9)","1.85","—"
"Wasting","MAR 10%","MI-PMM",20,"0.07 (0.09)","0.9","0.40 (0.07)","0.46 (0.01)","1.15","0.40 (0.06)","95.0 (4.9)","1.83","0.11"
"Wasting","MAR 10%","MI-RF",20,"-0.02 (0.09)","-0.2","0.42 (0.07)","0.46 (0.01)","1.10","0.41 (0.06)","95.0 (4.9)","1.79","0.08"
"Wasting","MAR 30%","Complete data",20,"-0.04 (0.11)","-0.5","0.48 (0.08)","0.45 (0.00)","0.93","0.47 (0.09)","90.0 (6.7)","1.76","—"
"Wasting","MAR 30%","CCA",20,"-0.08 (0.11)","-1.1","0.51 (0.08)","0.51 (0.01)","1.00","0.51 (0.07)","95.0 (4.9)","2.02","—"
"Wasting","MAR 30%","IPW",20,"-0.00 (0.12)","-0.1","0.56 (0.09)","0.54 (0.01)","0.97","0.54 (0.10)","95.0 (4.9)","2.13","—"
"Wasting","MAR 30%","MI-PMM",20,"0.12 (0.12)","1.6","0.54 (0.09)","0.49 (0.01)","0.91","0.54 (0.09)","90.0 (6.7)","1.95","0.26"
"Wasting","MAR 30%","MI-RF",20,"-0.12 (0.12)","-1.6","0.54 (0.09)","0.49 (0.01)","0.89","0.55 (0.07)","90.0 (6.7)","1.93","0.24"
"Wasting","MAR 30% (ntree=50)","MI-RF (ntree=50)",4,"-0.48 (0.11)","-6.3","0.23 (0.09)","0.47 (0.01)","2.06","0.52 (0.09)","100.0 (0.0)","1.84","0.23"
"Wasting","MAR 50%","Complete data",20,"0.07 (0.10)","0.9","0.44 (0.07)","0.45 (0.00)","1.03","0.44 (0.08)","95.0 (4.9)","1.78","—"
"Wasting","MAR 50%","CCA",20,"-0.06 (0.14)","-0.8","0.62 (0.10)","0.59 (0.01)","0.95","0.61 (0.09)","100.0 (0.0)","2.30","—"
"Wasting","MAR 50%","IPW",20,"0.08 (0.16)","1.0","0.71 (0.12)","0.67 (0.02)","0.94","0.70 (0.10)","95.0 (4.9)","2.64","—"
"Wasting","MAR 50%","MI-PMM",20,"0.25 (0.13)","3.3","0.60 (0.10)","0.55 (0.01)","0.91","0.64 (0.09)","90.0 (6.7)","2.20","0.43"
"Wasting","MAR 50%","MI-RF",20,"-0.23 (0.14)","-3.0","0.64 (0.10)","0.53 (0.01)","0.82","0.67 (0.09)","85.0 (8.0)","2.11","0.39"
"Wasting","MNAR 10%","Complete data",20,"-0.21 (0.08)","-2.7","0.36 (0.06)","0.44 (0.01)","1.24","0.40 (0.05)","100.0 (0.0)","1.73","—"
"Wasting","MNAR 10%","CCA",20,"-1.36 (0.07)","-17.9","0.33 (0.05)","0.42 (0.01)","1.29","1.40 (0.07)","10.0 (6.7)","1.64","—"
"Wasting","MNAR 10%","IPW",20,"-1.36 (0.07)","-17.8","0.33 (0.05)","0.42 (0.01)","1.28","1.39 (0.07)","10.0 (6.7)","1.65","—"
"Wasting","MNAR 10%","MI-PMM",20,"-1.29 (0.07)","-16.9","0.31 (0.05)","0.41 (0.00)","1.34","1.32 (0.07)","10.0 (6.7)","1.62","0.09"
