"outcome","scenario","method","n_sim","bias","rel_bias_pct","emp_se","mod_se","se_ratio","rmse","coverage","ci_width","fmi"
"Wasting","MAR 10%","CCA",500,"0.01 (0.02)","0.2","0.44 (0.01)","0.47 (0.00)","1.06","0.44 (0.01)","96.0 (0.9)","1.83","—"
"Wasting","MAR 10%","IPW",500,"0.04 (0.02)","0.5","0.44 (0.01)","0.47 (0.00)","1.07","0.44 (0.01)","95.4 (0.9)","1.85","—"
"Wasting","MAR 10%","MI-PMM",500,"0.07 (0.02)","0.9","0.43 (0.01)","0.46 (0.00)","1.07","0.44 (0.01)","95.2 (1.0)","1.81","0.09"
"Wasting","MAR 10%","MI-RF",500,"0.00 (0.02)","0.0","0.44 (0.01)","0.46 (0.00)","1.05","0.44 (0.01)","96.0 (0.9)","1.81","0.09"
"Wasting","MAR 30%","Complete data",500,"0.00 (0.02)","0.0","0.43 (0.01)","0.45 (0.00)","1.03","0.43 (0.01)","95.4 (0.9)","1.76","—"
"Wasting","MAR 30%","CCA",500,"-0.07 (0.02)","-0.9","0.49 (0.02)","0.51 (0.00)","1.05","0.49 (0.01)","95.6 (0.9)","2.02","—"
"Wasting","MAR 30%","IPW",500,"0.00 (0.02)","0.0","0.51 (0.02)","0.54 (0.00)","1.05","0.51 (0.02)","95.2 (1.0)","2.12","—"
"Wasting","MAR 30%","MI-PMM",500,"0.09 (0.02)","1.2","0.49 (0.02)","0.50 (0.00)","1.02","0.50 (0.02)","94.4 (1.0)","1.97","0.28"
"Wasting","MAR 30%","MI-RF",500,"-0.15 (0.02)","-1.9","0.48 (0.02)","0.48 (0.00)","1.00","0.51 (0.01)","94.0 (1.1)","1.92","0.24"
"Wasting","MAR 30% (ntree=50)","MI-RF (ntree=50)",200,"-0.18 (0.03)","-2.4","0.44 (0.02)","0.48 (0.00)","1.09","0.47 (0.02)","97.0 (1.2)","1.88","0.23"
"Wasting","MAR 50%","Complete data",500,"-0.01 (0.02)","-0.1","0.43 (0.01)","0.45 (0.00)","1.04","0.43 (0.01)","96.6 (0.8)","1.76","—"
"Wasting","MAR 50%","CCA",500,"-0.09 (0.03)","-1.2","0.58 (0.02)","0.59 (0.00)","1.02","0.59 (0.02)","95.6 (0.9)","2.32","—"
"Wasting","MAR 50%","IPW",500,"-0.02 (0.03)","-0.3","0.64 (0.02)","0.66 (0.00)","1.03","0.64 (0.02)","95.2 (1.0)","2.58","—"
"Wasting","MAR 50%","MI-PMM",500,"0.14 (0.03)","1.8","0.57 (0.02)","0.56 (0.00)","0.98","0.59 (0.02)","94.6 (1.0)","2.24","0.44"
"Wasting","MAR 50%","MI-RF",500,"-0.26 (0.02)","-3.4","0.55 (0.02)","0.52 (0.00)","0.93","0.61 (0.02)","91.2 (1.3)","2.06","0.37"
"Wasting","MAR-strong 10%","Complete data",500,"-0.02 (0.02)","-0.3","0.45 (0.01)","0.45 (0.00)","1.00","0.45 (0.01)","95.8 (0.9)","1.75","—"
"Wasting","MAR-strong 10%","CCA",500,"-0.30 (0.02)","-3.9","0.46 (0.01)","0.46 (0.00)","1.01","0.55 (0.02)","89.2 (1.4)","1.81","—"
"Wasting","MAR-strong 10%","IPW",500,"-0.02 (0.02)","-0.2","0.47 (0.01)","0.47 (0.00)","1.00","0.47 (0.01)","96.0 (0.9)","1.85","—"
"Wasting","MAR-strong 10%","MI-PMM",500,"-0.10 (0.02)","-1.3","0.46 (0.01)","0.46 (0.00)","0.99","0.47 (0.01)","94.4 (1.0)","1.80","0.10"
"Wasting","MAR-strong 10%","MI-RF",500,"-0.19 (0.02)","-2.5","0.46 (0.01)","0.46 (0.00)","0.98","0.50 (0.01)","91.8 (1.2)","1.80","0.09"
