"scenario","mechanism","rate","method","outcome","axis","n_groups","mean_abs_bias","max_abs_bias","mean_coverage","min_coverage","n_degenerate_ci"
9,"MAR-strong",0.5,"MI-RF","wasted","wealth",5,0.00810414135893315,0.0201062379556427,0.8896,0.624,0
10,"MNAR",0.1,"Complete data","stunted","region",23,0.00112016524644616,0.00352503599918669,0.930869565217391,0.91,0
10,"MNAR",0.1,"Complete data","stunted","wealth",5,0.00059390181753447,0.00140305816236291,0.9372,0.926,0
10,"MNAR",0.1,"Complete data","wasted","region",23,0.000779079094432354,0.00508030034371286,0.916874806188692,0.606,24
10,"MNAR",0.1,"Complete data","wasted","wealth",5,0.000333188114708054,0.000696755059165832,0.958,0.946,0
10,"MNAR",0.1,"CCA","stunted","region",23,0.021829316500276,0.074819545275135,0.868782608695652,0.248,0
10,"MNAR",0.1,"CCA","stunted","wealth",5,0.0218672042064506,0.0283613409348147,0.7616,0.598,0
10,"MNAR",0.1,"CCA","wasted","region",23,0.0110168113102278,0.0424696359979773,0.885923255967652,0.592,38
10,"MNAR",0.1,"CCA","wasted","wealth",5,0.0113249849427233,0.0157743239991156,0.8008,0.678,0
10,"MNAR",0.1,"IPW","stunted","region",23,0.0199980769225805,0.0741359027076829,0.87704347826087,0.266,0
10,"MNAR",0.1,"IPW","stunted","wealth",5,0.0204669626906724,0.0278643518917331,0.7824,0.6,0
10,"MNAR",0.1,"IPW","wasted","region",23,0.0114110705115446,0.0451802803518467,0.881295953415804,0.592,38
10,"MNAR",0.1,"IPW","wasted","wealth",5,0.0115105819115336,0.0160436328517496,0.7888,0.658,0
10,"MNAR",0.1,"MI-PMM","stunted","region",23,0.0203940015517395,0.0839796292653247,0.882869565217391,0.19,0
10,"MNAR",0.1,"MI-PMM","stunted","wealth",5,0.020581105644104,0.0276227200976181,0.7732,0.61,0
10,"MNAR",0.1,"MI-PMM","wasted","region",23,0.0109521218004946,0.0435108925916759,0.910091806038474,0.578,38
10,"MNAR",0.1,"MI-PMM","wasted","wealth",5,0.0109193383631657,0.015190540288272,0.8236,0.682,0
10,"MNAR",0.1,"MI-RF","stunted","region",23,0.018737911981851,0.0683801254733937,0.890260869565217,0.338,0
10,"MNAR",0.1,"MI-RF","stunted","wealth",5,0.0189192567464808,0.026720613657871,0.7984,0.632,0
10,"MNAR",0.1,"MI-RF","wasted","region",23,0.0111351067836251,0.0460287454046136,0.899182753923066,0.536,38
10,"MNAR",0.1,"MI-RF","wasted","wealth",5,0.011001021167386,0.0163174390386075,0.8132,0.644,0
11,"MNAR",0.3,"Complete data","stunted","region",23,0.00116338654317248,0.0041459124399888,0.931304347826087,0.91,0
11,"MNAR",0.3,"Complete data","stunted","wealth",5,0.00126564037016147,0.00185730220180053,0.9388,0.918,0
11,"MNAR",0.3,"Complete data","wasted","region",23,0.000917738490879184,0.00631355542089888,0.921311660966115,0.59,26
11,"MNAR",0.3,"Complete data","wasted","wealth",5,0.000350740002601876,0.000839663942440255,0.9404,0.922,0
11,"MNAR",0.3,"CCA","stunted","region",23,0.0615829210369372,0.145224512172261,0.636782608695652,0.026,0
11,"MNAR",0.3,"CCA","stunted","wealth",5,0.0601796965713049,0.075031197126058,0.2384,0.024,0
11,"MNAR",0.3,"CCA","wasted","region",23,0.0248833038692295,0.0736513272989414,0.798617287305454,0.402,136
11,"MNAR",0.3,"CCA","wasted","wealth",5,0.024700689734188,0.0321111819109691,0.3632,0.184,0
11,"MNAR",0.3,"IPW","stunted","region",23,0.0573873953377364,0.148979767355134,0.686173913043478,0.064,0
11,"MNAR",0.3,"IPW","stunted","wealth",5,0.0579680211162348,0.0757299241525001,0.2824,0.03,0
11,"MNAR",0.3,"IPW","wasted","region",23,0.0258867259944101,0.0784885914399226,0.775987284148216,0.3,136
11,"MNAR",0.3,"IPW","wasted","wealth",5,0.0260003345499505,0.0339358779876351,0.3408,0.166,0
11,"MNAR",0.3,"MI-PMM","stunted","region",23,0.058269095769999,0.173481050724179,0.698,0.01,0
11,"MNAR",0.3,"MI-PMM","stunted","wealth",5,0.0579790669696562,0.0798695899701036,0.282,0.018,0
11,"MNAR",0.3,"MI-PMM","wasted","region",23,0.0246544986985819,0.071598692762827,0.84284624074174,0.216,106
11,"MNAR",0.3,"MI-PMM","wasted","wealth",5,0.0243454497729589,0.0316648571693923,0.3432,0.134,0
11,"MNAR",0.3,"MI-RF","stunted","region",23,0.054912016229229,0.133270918084406,0.685304347826087,0.02,0
11,"MNAR",0.3,"MI-RF","stunted","wealth",5,0.0546846461692878,0.0747473605376241,0.2864,0.014,0
11,"MNAR",0.3,"MI-RF","wasted","region",23,0.0259516153391417,0.0814466860838133,0.806707203642752,0.118,125
11,"MNAR",0.3,"MI-RF","wasted","wealth",5,0.0253562515114391,0.0354399997750652,0.3224,0.058,0
12,"MNAR",0.5,"Complete data","stunted","region",23,0.0017211944936216,0.00356080686103694,0.93,0.9,0
12,"MNAR",0.5,"Complete data","stunted","wealth",5,0.000677255036447122,0.00117801930695821,0.9428,0.904,0
12,"MNAR",0.5,"Complete data","wasted","region",23,0.000796158470062602,0.00275786762604111,0.916235751915726,0.628,22
12,"MNAR",0.5,"Complete data","wasted","wealth",5,0.000260140839110193,0.000392729610068587,0.9428,0.928,0
12,"MNAR",0.5,"CCA","stunted","region",23,0.101296192311184,0.19219412284407,0.436,0.04,0
12,"MNAR",0.5,"CCA","stunted","wealth",5,0.099551867662105,0.119774454094383,0.064,0,0
12,"MNAR",0.5,"CCA","wasted","region",23,0.0347653829254755,0.0870119405690021,0.770010747365549,0.484,610
12,"MNAR",0.5,"CCA","wasted","wealth",5,0.0338693105900097,0.0430295563244521,0.2208,0.102,0
12,"MNAR",0.5,"IPW","stunted","region",23,0.0948086845314455,0.196061278232084,0.52104347826087,0.114,0
12,"MNAR",0.5,"IPW","stunted","wealth",5,0.0959459232523417,0.117877197227206,0.09,0.002,0
12,"MNAR",0.5,"IPW","wasted","region",23,0.0357932843368119,0.0918228182327039,0.746899361560004,0.426559356136821,610
12,"MNAR",0.5,"IPW","wasted","wealth",5,0.0358778186789381,0.0459869980101306,0.2112,0.078,0
12,"MNAR",0.5,"MI-PMM","stunted","region",23,0.0954825402137478,0.234023776956044,0.482782608695652,0.01,0
12,"MNAR",0.5,"MI-PMM","stunted","wealth",5,0.0951164215351904,0.130345556044381,0.1036,0,0
12,"MNAR",0.5,"MI-PMM","wasted","region",23,0.0344050988116715,0.0838357144107292,0.77025997385434,0.206,237
12,"MNAR",0.5,"MI-PMM","wasted","wealth",5,0.0336916734319275,0.0437147932577809,0.116,0.022,0
12,"MNAR",0.5,"MI-RF","stunted","region",23,0.0926128903257452,0.175548281792722,0.433826086956522,0.002,0
12,"MNAR",0.5,"MI-RF","stunted","wealth",5,0.0926703409383542,0.120737172853353,0.0804,0,0
